scores 2023-06-07,profits 2023-06-07,percentage 2023-06-07
0.1309,0.014,0.137
0.1903,-0.007,-0.074
0.1516,0.035,0.346
0.1053,0.034,0.344
0.2107,-0.03,-0.303
0.1392,-0.004,-0.042
0.2093,0.042,0.423
0.1071,0.046,0.456
0.2362,0.037,0.374
0.3557,0.074,0.745
0.1133,0.0,0.0
0.1613,-0.009,-0.092
0.18,-0.029,-0.295
0.1397,0.047,0.474
0.1785,-0.123,-1.23
0.0618,0.03,0.301
0.1021,0.025,0.251
0.2806,-0.009,-0.086
0.1793,0.004,0.037
-0.157,0.056,0.556
0.0965,-0.006,-0.057
0.2586,0.019,0.191
0.0695,0.084,0.842
0.3227,-0.008,-0.075
0.0193,-0.056,-0.561
0.1021,0.041,0.409
0.327,0.077,0.77
0.1115,0.072,0.717
0.1115,0.047,0.473
0.0918,0.0,0.0
-0.0362,0.017,0.174
0.2103,0.063,0.63
-0.1115,0.088,0.882
0.0057,0.078,0.784
0.3882,-0.017,-0.169
0.1514,-0.208,-2.08
0.0918,0.017,0.174
0.1452,0.076,0.757
0.1021,0.025,0.252
0.2634,0.037,0.369
-0.1099,0.02,0.198
0.1183,0.005,0.055
0.2557,0.005,0.051
0.0834,0.0,0.0
0.0504,0.001,0.007
0.0,-0.181,-1.807
0.2163,0.042,0.417
0.2485,0.06,0.601
0.1085,-0.036,-0.355
0.3987,0.024,0.237
0.1791,-0.027,-0.274
0.343,0.007,0.065
0.1573,0.015,0.155
0.27,0.076,0.763
0.1021,0.03,0.3
0.1274,-0.024,-0.237
0.1954,-0.083,-0.834
0.0,0.079,0.788
0.0951,0.02,0.197
0.3073,0.0,0.0
0.1115,0.009,0.086
0.3063,-0.046,-0.458
0.4977,0.057,0.574
0.2071,-0.021,-0.214
0.5428,0.016,0.159
0.296,0.045,0.446
0.2524,0.03,0.3
-0.004,0.041,0.412
0.3269,0.053,0.532
0.2768,0.065,0.647
0.1356,0.103,1.028
0.1115,0.044,0.442
-0.1656,0.025,0.252
0.0662,0.009,0.086
0.2059,-0.009,-0.094
0.0069,0.01,0.097
0.3654,-0.036,-0.357
0.0618,0.001,0.008
0.2063,0.039,0.385
0.1962,-0.021,-0.209
0.3911,-0.036,-0.357
0.191,0.0,0.0
0.452,0.099,0.991
0.4087,0.113,1.129
0.2313,0.013,0.135
0.1227,0.129,1.292
0.1766,-0.01,-0.096
0.1251,0.033,0.333
0.2671,0.059,0.585
0.2141,0.029,0.292
0.0855,-0.002,-0.015
0.068,0.026,0.257
0.692,0.038,0.377
0.1168,0.098,0.979
0.4305,0.066,0.656
-0.0516,0.019,0.188
0.0918,0.024,0.236
0.3188,0.038,0.385
0.3745,0.022,0.218
0.0843,0.0,0.0
0.1658,0.108,1.079
0.2892,0.064,0.639
0.2796,0.034,0.344
0.1798,0.018,0.182
0.1744,0.037,0.375
-0.0507,0.015,0.145
0.2076,0.051,0.506
-0.0319,0.101,1.012
0.1327,0.082,0.819
0.1378,0.144,1.444
-0.025,-0.021,-0.211
-0.0258,0.023,0.227
0.25,0.049,0.494
0.2075,0.093,0.928
0.0,-0.053,-0.525
0.2561,0.02,0.2
-0.0613,0.054,0.545
0.1152,-0.01,-0.104
0.2373,0.049,0.492
0.2412,0.059,0.59
0.0592,0.116,1.163
0.1055,-0.021,-0.215
0.1954,0.101,1.006
0.3624,0.019,0.189
0.2094,0.0,0.0
0.0,-0.11,-1.101
0.148,0.002,0.017
0.2613,-0.032,-0.317
0.0819,0.011,0.105
0.1491,0.035,0.347
0.0139,0.009,0.085
-0.0154,0.078,0.783
0.0405,0.193,1.932
0.3351,0.071,0.708
0.2626,0.063,0.63
0.1935,0.041,0.408
0.1466,0.011,0.111
0.33,0.043,0.433
0.2383,0.002,0.019
0.2548,0.029,0.286
-0.0187,-0.021,-0.214
0.1473,-0.729,-7.294
0.0,-0.014,-0.139
0.0,0.019,0.186
-0.0633,-0.095,-0.952
0.2011,0.012,0.118
0.3589,0.004,0.036
0.0149,0.066,0.659
0.4066,-0.006,-0.055
0.2294,0.086,0.856
0.1033,-0.003,-0.028
0.1356,0.065,0.65
0.1356,0.048,0.483
-0.0526,0.077,0.768
0.2932,-0.002,-0.018
0.3846,0.01,0.102
-0.0044,0.003,0.034
0.1578,-0.039,-0.387
0.1301,0.047,0.469
0.2875,0.066,0.663
0.2246,0.047,0.474
0.0225,0.042,0.421
0.0,0.037,0.365
0.216,0.034,0.344
0.2624,0.009,0.087
0.0764,-0.02,-0.204
0.0075,0.056,0.559
0.258,0.007,0.067
0.1484,-0.006,-0.057
0.3058,0.067,0.668
0.3992,0.062,0.617
-0.0592,0.025,0.253
0.0764,0.055,0.545
0.1132,0.052,0.52
0.1796,0.067,0.67
0.132,0.021,0.211
0.335,0.062,0.615
0.0546,0.144,1.441
0.0,0.083,0.832
0.2972,0.054,0.544
0.1356,0.088,0.876
0.0997,0.011,0.112
0.2166,0.07,0.697
0.4544,0.071,0.708
0.0299,0.089,0.891
0.3161,-0.067,-0.675
0.1864,0.072,0.716
0.2476,0.062,0.623
0.3284,0.059,0.59
0.1593,0.011,0.111
0.1086,0.074,0.74
0.0754,-0.015,-0.149
0.2496,0.074,0.735
0.1613,0.01,0.104
0.2136,0.146,1.461
-0.0526,0.062,0.624
0.0231,0.0,0.0
0.0258,0.129,1.29
0.132,0.068,0.68
0.01,0.146,1.459
