#,Company,Symbol,Weight,      Price,Chg,% Chg
282,State Street Corp,STT,0.068689,   67.09,-1.28,(-1.87%)
283,Quanta Services Inc,PWR,0.068533,   166.89,0.28,-0.17%
284,T Rowe Price Group Inc,TROW,0.068469,   104.92,-1.1,(-1.04%)
285,United Rentals Inc,URI,0.06842,   339.50,-4.12,(-1.20%)
286,Ebay Inc,EBAY,0.068272,   43.32,-0.46,(-1.05%)
287,Willis Towers Watson Plc,WTW,0.068039,   220.58,-0.84,(-0.38%)
288,Ingersoll Rand Inc,IR,0.067636,   56.90,-1.11,(-1.91%)
289,Corning Inc,GLW,0.067421,   31.41,0.64,-2.09%
290,Delta Air Lines Inc,DAL,0.066304,   34.96,-0.95,(-2.64%)
291,Fortive Corp,FTV,0.066119,   63.81,-1.22,(-1.88%)
292,Lyondellbasell Indu Cl A,LYB,0.066119,   89.33,-1.4,(-1.54%)
293,Cdw Corp/de,CDW,0.066106,   164.36,-5.84,(-3.43%)
294,Church & Dwight Co Inc,CHD,0.065927,   93.70,-0.22,(-0.23%)
295,Walgreens Boots Alliance Inc,WBA,0.065204,   30.70,-0.91,(-2.86%)
296,Genuine Parts Co,GPC,0.065202,   158.33,-2.14,(-1.33%)
297,Hartford Financial Svcs Grp,HIG,0.064955,   69.71,-1.36,(-1.92%)
298,Enphase Energy Inc,ENPH,0.063707,   163.90,1.07,-0.66%
299,Cardinal Health Inc,CAH,0.062886,   85.26,0.47,-0.55%
300,Mccormick & Co Non Vtg Shrs,MKC,0.062867,   87.77,0.48,-0.55%
301,Weyerhaeuser Co,WY,0.062092,   28.56,-0.63,(-2.15%)
302,Take Two Interactive Softwre,TTWO,0.061984,   136.67,0.89,-0.66%
303,Baxter International Inc,BAX,0.061741,   41.88,-0.62,(-1.46%)
304,Ameren Corporation,AEE,0.061469,   82.15,-0.57,(-0.68%)
305,Dte Energy Company,DTE,0.060873,   107.18,-1.98,(-1.82%)
306,Intl Flavors & Fragrances,IFF,0.060836,   81.50,-1.53,(-1.84%)
307,M & T Bank Corp,MTB,0.060441,   121.90,-2.09,(-1.69%)
308,Equity Residential,EQR,0.059754,   59.68,-1.25,(-2.04%)
309,Verisign Inc,VRSN,0.059624,   222.11,-0.91,(-0.41%)
310,Insulet Corp,PODD,0.059389,   292.84,-3.6,(-1.21%)
311,Firstenergy Corp,FE,0.058924,   37.94,0.04,-0.09%
312,Align Technology Inc,ALGN,0.058889,   281.66,-0.89,(-0.32%)
313,Entergy Corp,ETR,0.05876,   99.32,-0.97,(-0.97%)
314,Coterra Energy Inc,CTRA,0.058682,   25.57,-0.21,(-0.80%)
315,Hologic Inc,HOLX,0.057715,   80.33,-0.09,(-0.12%)
316,Steris Plc,STE,0.057579,   201.08,-0.8,(-0.40%)
317,First Solar Inc,FSLR,0.057239,   198.67,-2.22,(-1.11%)
